Wavelength (nm),500ppb_500ms
347.57,443.87
347.71,440.88
347.84,437.88
347.98,448.88
348.12,457.88
348.25,446.89
348.39,437.89
348.52,442.89
348.66,440.90
348.79,445.90
348.93,445.90
349.06,451.90
349.20,450.91
349.34,453.91
349.47,462.91
349.61,467.92
349.74,449.92
349.88,449.92
350.01,455.93
350.15,462.93
350.28,463.93
350.42,468.93
350.56,466.94
350.69,460.94
350.83,463.94
350.96,465.94
351.10,463.95
351.23,463.95
351.37,461.95
351.51,463.96
351.64,470.96
351.78,477.96
351.91,468.96
352.05,462.97
352.18,467.97
352.32,470.97
352.46,469.98
352.59,461.98
352.73,465.98
352.86,469.98
353.00,460.99
353.13,471.99
353.27,482.99
353.41,474.99
353.54,466.00
353.68,470.00
353.81,469.00
353.95,461.01
354.09,462.01
354.22,461.01
354.36,466.01
354.49,463.02
354.63,456.02
354.77,457.02
354.90,457.02
355.04,463.03
355.17,459.03
355.31,446.03
355.44,448.03
355.58,448.04
355.72,448.04
355.85,458.04
355.99,454.05
356.12,449.05
356.26,444.05
356.40,445.05
356.53,443.06
356.67,441.06
356.80,438.06
356.94,437.06
357.08,434.07
357.21,429.07
357.35,433.07
357.48,436.07
357.62,440.08
357.76,429.08
357.89,428.08
358.03,435.08
358.16,430.09
358.30,428.09
358.44,429.09
358.57,424.09
358.71,421.10
358.84,426.10
358.98,419.10
359.12,412.10
359.25,414.11
359.39,413.11
359.53,409.11
359.66,405.11
359.80,405.12
359.93,413.12
360.07,410.12
360.21,408.12
360.34,402.13
360.48,402.13
360.61,403.13
360.75,404.13
360.89,412.14
361.02,417.14
361.16,404.14
361.30,387.14
361.43,392.15
361.57,400.15
361.70,402.15
361.84,399.15
361.98,387.16
362.11,382.16
362.25,382.16
362.39,388.16
362.52,394.16
362.66,399.17
362.79,396.17
362.93,395.17
363.07,387.17
363.20,379.18
363.34,393.18
363.48,400.18
363.61,386.18
363.75,375.19
363.89,384.19
364.02,402.19
364.16,395.19
364.29,391.20
364.43,382.20
364.57,391.20
364.70,396.20
364.84,382.20
364.98,375.21
365.11,380.21
365.25,380.21
365.39,389.21
365.52,393.22
365.66,382.22
365.80,373.22
365.93,379.22
366.07,372.23
366.20,371.23
366.34,376.23
366.48,380.23
366.61,383.23
366.75,394.24
366.89,383.24
367.02,386.24
367.16,378.24
367.30,370.25
367.43,365.25
367.57,366.25
367.71,365.25
367.84,367.25
367.98,370.26
368.12,382.26
368.25,381.26
368.39,373.26
368.53,373.27
368.66,371.27
368.80,365.27
368.94,370.27
369.07,370.27
369.21,365.28
369.35,368.28
369.48,379.28
369.62,373.28
369.76,373.29
369.89,361.29
370.03,359.29
370.17,366.29
370.30,365.29
370.44,352.30
370.58,363.30
370.71,368.30
370.85,356.30
370.99,361.30
371.12,360.31
371.26,368.31
371.40,365.31
371.53,351.31
371.67,347.32
371.81,347.32
371.94,362.32
372.08,363.32
372.22,367.32
372.35,361.33
372.49,355.33
372.63,349.33
372.76,358.33
372.90,352.33
373.04,340.34
373.18,339.34
373.31,352.34
373.45,354.34
373.59,356.34
373.72,343.35
373.86,337.35
374.00,350.35
374.13,352.35
374.27,335.35
374.41,337.36
374.54,339.36
374.68,331.36
374.82,332.36
374.95,347.36
375.09,337.37
375.23,335.37
375.37,328.37
375.50,336.37
375.64,334.37
375.78,327.38
375.91,323.38
376.05,329.38
376.19,329.38
376.32,326.38
376.46,336.39
376.60,338.39
376.74,319.39
376.87,332.39
377.01,337.39
377.15,327.40
377.28,315.40
377.42,321.40
377.56,320.40
377.70,315.40
377.83,324.41
377.97,323.41
378.11,318.41
378.24,326.41
378.38,319.41
378.52,312.42
378.66,313.42
378.79,317.42
378.93,318.42
379.07,327.42
379.20,324.43
379.34,309.43
379.48,300.43
379.62,305.43
379.75,308.43
379.89,301.44
380.03,316.44
380.16,311.44
380.30,300.44
380.44,314.44
380.58,314.44
380.71,307.45
380.85,317.45
380.99,314.45
381.12,293.45
381.26,301.45
381.40,297.46
381.54,289.46
381.67,303.46
381.81,308.46
381.95,295.46
382.09,302.47
382.22,304.47
382.36,294.47
382.50,295.47
382.64,301.47
382.77,291.47
382.91,286.48
383.05,293.48
383.18,295.48
383.32,302.48
383.46,286.48
383.60,280.49
383.73,296.49
383.87,299.49
384.01,293.49
384.15,291.49
384.28,297.49
384.42,299.50
384.56,293.50
384.70,285.50
384.83,279.50
384.97,285.50
385.11,292.50
385.25,295.51
385.38,288.51
385.52,281.51
385.66,280.51
385.80,282.51
385.93,281.52
386.07,275.52
386.21,286.52
386.35,280.52
386.48,274.52
386.62,277.52
386.76,282.53
386.90,281.53
387.03,271.53
387.17,268.53
387.31,262.53
387.45,264.53
387.58,269.54
387.72,266.54
387.86,275.54
388.00,273.54
388.13,264.54
388.27,267.54
388.41,265.55
388.55,259.55
388.69,261.55
388.82,256.55
388.96,248.55
389.10,257.55
389.24,258.56
389.37,259.56
389.51,257.56
389.65,258.56
389.79,261.56
389.92,252.57
390.06,263.57
390.20,256.57
390.34,241.57
390.48,240.57
390.61,241.57
390.75,240.57
390.89,249.58
391.03,251.58
391.16,249.58
391.30,248.58
391.44,249.58
391.58,243.58
391.72,236.59
391.85,239.59
391.99,241.59
392.13,241.59
392.27,243.59
392.40,230.59
392.54,232.60
392.68,236.60
392.82,235.60
392.96,231.60
393.09,233.60
393.23,225.60
393.37,220.61
393.51,222.61
393.65,213.61
393.78,211.61
393.92,225.61
394.06,233.61
